code,name,category,institution,page
ZU-A-AC9,"B Sc Augmented (Computer
Science and Mathematics)",19. SCIENCE AND MATHEMATICS,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,183
ZU-A-AC6,"B Sc Augmented (Computer
Science and Physics)",19. SCIENCE AND MATHEMATICS,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,183
ZU-A-ASI,"B Sc Augmented (Computer
Science and Statistics)",19. SCIENCE AND MATHEMATICS,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,183
ZU-A-AGH,"B Sc Augmented (Geography
and Hydrology)",19. SCIENCE AND MATHEMATICS,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,183
ZU-A-AGP,"B Sc Augmented (Geography
and Physics)",19. SCIENCE AND MATHEMATICS,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,183
ZU-A-AGS,"B Sc Augmented (Geography
and Statistics)",19. SCIENCE AND MATHEMATICS,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,183
ZU-A-AGZ,"B Sc Augmented (Geography
and Zoology)",19. SCIENCE AND MATHEMATICS,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,184
ZU-A-AH1,"B Sc Augmented (Human
Movement Science and Physics)",19. SCIENCE AND MATHEMATICS,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,184
ZU-A-AHM,"B Sc Augmented (Hydrology
and Microbiology)",19. SCIENCE AND MATHEMATICS,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,184
ZU-A-AH2,"B Sc Augmented (Hydrology
and Physics)",19. SCIENCE AND MATHEMATICS,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,184
ZU-A-AHY,"B Sc Augmented (Hydrology
and Statistics)",19. SCIENCE AND MATHEMATICS,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,184
ZU-A-AHZ,"B Sc Augmented (Hydrology
and Zoology)",19. SCIENCE AND MATHEMATICS,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,184
ZU-A-AM2,"B Sc Augmented (Mathematics
and Physics)",19. SCIENCE AND MATHEMATICS,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,184
ZU-A-AMT,"B Sc Augmented (Mathematics
and Statistics)",19. SCIENCE AND MATHEMATICS,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,184
ZU-A-AMO,"B Sc Augmented (Microbiology
and Human Movement Science)",19. SCIENCE AND MATHEMATICS,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,184
ZU-A-AM7,"B Sc Augmented (Microbiology
and Zoology)",19. SCIENCE AND MATHEMATICS,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,184
ZU-M-BBM,"B Sc Biochemistry with Botany
as Major 2",19. SCIENCE AND MATHEMATICS,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,185
ZU-M-BC3,"B Sc Biochemistry with
Chemistry as Major 2",19. SCIENCE AND MATHEMATICS,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,185
ZU-M-BH3,"B Sc Biochemistry with Human
Movement Science as Major 2",19. SCIENCE AND MATHEMATICS,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,185
ZU-M-BIM,"B Sc Biochemistry with
Microbiology as Major 2",19. SCIENCE AND MATHEMATICS,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,185
ZU-M-BZ3,"B Sc Biochemistry with Zoology
as Major 2",19. SCIENCE AND MATHEMATICS,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,185
ZU-M-BOG,"B Sc Botany with Geography
as Major 2",19. SCIENCE AND MATHEMATICS,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,185
ZU-M-BOH,"B Sc Botany with Hydrology as
Major 2",19. SCIENCE AND MATHEMATICS,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,185
ZU-M-BOM,"B Sc Botany with Microbiology
as Major 2",19. SCIENCE AND MATHEMATICS,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,186
ZU-M-BOZ,"B Sc Botany with Zoology as
Major 2",19. SCIENCE AND MATHEMATICS,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,186
KN-P-SIK,"B Sc Chemistry & Chemical
Technology",19. SCIENCE AND MATHEMATICS,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,186
ZU-M-CHC,"B Sc Chemistry with Computer
Science as Major 2",19. SCIENCE AND MATHEMATICS,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,186
ZU-M-CHH,"B Sc Chemistry with Hydrology
as Major 2",19. SCIENCE AND MATHEMATICS,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,186
ZU-M-CHM,"B Sc Chemistry with
Mathematics as Major 2",19. SCIENCE AND MATHEMATICS,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,186
ZU-M-CHP,"B Sc Chemistry with Physics as
Major 2",19. SCIENCE AND MATHEMATICS,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,186
ZU-M-CZM,"B Sc Chemistry with Zoology
as Major 2",19. SCIENCE AND MATHEMATICS,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,186
ZU-M-CSH,"B Sc Computer Science with
Hydrology as Major 2",19. SCIENCE AND MATHEMATICS,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,186
ZU-M-CSC,"B Sc Computer Science with
Mathematics as Major 2",19. SCIENCE AND MATHEMATICS,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,186
ZU-M-COS,"B Sc Computer Science with
Statistics as Major 2",19. SCIENCE AND MATHEMATICS,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,186
ZU-M-GEH,"B Sc Geography with
Hydrology as Major 2",19. SCIENCE AND MATHEMATICS,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,187
ZU-M-GEP,"B Sc Geography with Physics
as Major 2",19. SCIENCE AND MATHEMATICS,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,187
ZU-M-GES,"B Sc Geography with Statistics
as Major 2",19. SCIENCE AND MATHEMATICS,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,187
ZU-M-GEZ,"B Sc Geography with Zoology
as Major 2",19. SCIENCE AND MATHEMATICS,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,187
KN-W-BSG,B Sc Geological Sciences,19. SCIENCE AND MATHEMATICS,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,187
ZU-M-HMP,"B Sc Human Movement Science
with Physics as Major 2",19. SCIENCE AND MATHEMATICS,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,187
ZU-M-HYM,"B Sc Hydrology with
Microbiology as Major 2",19. SCIENCE AND MATHEMATICS,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,187
ZU-M-HYP,"B Sc Hydrology with Physics as
Major 2",19. SCIENCE AND MATHEMATICS,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,187
ZU-M-HYS,"B Sc Hydrology with Statistics
as Major 2",19. SCIENCE AND MATHEMATICS,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,187
ZU-M-HYZ,"B Sc Hydrology with Zoology
as Major 2",19. SCIENCE AND MATHEMATICS,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,187
DU-D-BSY,"Bachelor of Applied Science in
Industrial Chemistry",19. SCIENCE AND MATHEMATICS,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,188
ZU-M-B6M,"B Sc Foundation (Applied
Mathematics & Physics)",19. SCIENCE AND MATHEMATICS,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,188
ZU-M-B6B,"B Sc Foundation (Biochemistry
& Botany)",19. SCIENCE AND MATHEMATICS,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,188
ZU-M-B6I,"B Sc Foundation (Biochemistry
& Microbiology)",19. SCIENCE AND MATHEMATICS,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,188
ZU-M-B6Z,"B Sc Foundation (Biochemistry
& Zoology)",19. SCIENCE AND MATHEMATICS,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,188
ZU-M-B6T,"B Sc Foundation (Botany &
Microbiology)",19. SCIENCE AND MATHEMATICS,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,188
ZU-M-B6Y,B Sc Foundation (Botany & Zoology),19. SCIENCE AND MATHEMATICS,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,188
ZU-M-B6E,"B Sc Foundation (Chemistry &
Mathematics)",19. SCIENCE AND MATHEMATICS,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,188
ZU-M-B6P,B Sc Foundation (Chemistry & Physics),19. SCIENCE AND MATHEMATICS,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,188
ZU-M-B6O,B Sc Foundation (Chemistry & Zoology),19. SCIENCE AND MATHEMATICS,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,188
ZU-M-B6H,B Sc Foundation (Mathematics & Physics),19. SCIENCE AND MATHEMATICS,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,188
ZU-M-B6C,"B Sc Foundation (Biochemistry &
Chemistry)",19. SCIENCE AND MATHEMATICS,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,188
ZU-M-B6G,"B Sc Foundation (Microbiology &
Zoology)",19. SCIENCE AND MATHEMATICS,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,188
DU-D-CH3,"Diploma in Analytical
Chemistry",19. SCIENCE AND MATHEMATICS,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,189
MN-M-DAN,"Diploma in Analytical
Chemistry",19. SCIENCE AND MATHEMATICS,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,189
DU-D-HAS,"Higher Certificate:
Applied Sciences",19. SCIENCE AND MATHEMATICS,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,189
MN-M-AD5,"Adv Diploma in Analytical
Chemistry",19. SCIENCE AND MATHEMATICS,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,189
MN-M-ANA,"Access Course Analytical
Chemistry",19. SCIENCE AND MATHEMATICS,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,190
PE-M-BSC,"Bachelor of Science in
Biotechnology Management",19. SCIENCE AND MATHEMATICS,PRIVATE COLLEGES,190
ZU-M-ABS,B A (Development Studies),20. SERVICES TO THE COMMUNITY,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,191
ZU-M-ARK,B A (Information Science),20. SERVICES TO THE COMMUNITY,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,191
DU-D-CYC,B Child & Youth Care,20. SERVICES TO THE COMMUNITY,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,191
DU-D-EVH,"B Health Science:
Environmental Health",20. SERVICES TO THE COMMUNITY,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,191
ZU-M-BLI,B Library & Information Science,20. SERVICES TO THE COMMUNITY,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,191
KN-H-BSX,B Social Work,20. SERVICES TO THE COMMUNITY,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,192
ZU-M-BSX,B Social Work,20. SERVICES TO THE COMMUNITY,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,192
KN-W-BRT,B Sports Science,20. SERVICES TO THE COMMUNITY,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,192
KN-P-BTH,B Theology,20. SERVICES TO THE COMMUNITY,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,192
MN-M-BE4,"Bachelor of Science in
Environmental Health",20. SERVICES TO THE COMMUNITY,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,192
DU-D-LS3,"Diploma in Library and
Information Studies",20. SERVICES TO THE COMMUNITY,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,193
ZU-R-SET,"Dip Sport & Exercise
Technology",20. SERVICES TO THE COMMUNITY,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,193
RB-D-PHS,"H Cert Healthcare Services
Management",20. SERVICES TO THE COMMUNITY,PRIVATE COLLEGES,193
MC-D-HHM,"Higher Certificate in Healthcare
Management",20. SERVICES TO THE COMMUNITY,PRIVATE COLLEGES,193
KN-P-ABI,B A International Studies,21. SOCIAL SCIENCES/LEGAL SERVICES,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,194
KN-H-ABP,"B A Philosophy, Politics & Law",21. SOCIAL SCIENCES/LEGAL SERVICES,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,194
ZU-M-ARD,B A Sociology,21. SOCIAL SCIENCES/LEGAL SERVICES,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,194
KN-H-BL1,B Laws,21. SOCIAL SCIENCES/LEGAL SERVICES,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,194
ZU-M-BL1,B Laws,21. SOCIAL SCIENCES/LEGAL SERVICES,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,195
KN-H-BLZ,B Laws (p/t),21. SOCIAL SCIENCES/LEGAL SERVICES,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,195
KN-H-SO2,B Soc Sc (General Studies),21. SOCIAL SCIENCES/LEGAL SERVICES,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,195
KN-H-SO4,"B Soc Sc Extended Curriculum
(4 yrs)",21. SOCIAL SCIENCES/LEGAL SERVICES,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,195
KN-P-SOG,"B Soc Sc Government,
Business & Ethics",21. SOCIAL SCIENCES/LEGAL SERVICES,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,195
ZU-M-PIS,"Bachelor of Social Sciences
in Political and International
Studies",21. SOCIAL SCIENCES/LEGAL SERVICES,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,196
EM-X-BCL,B Com Law,21. SOCIAL SCIENCES/LEGAL SERVICES,PRIVATE COLLEGES,196
RB-D-BCL,B Com Law,21. SOCIAL SCIENCES/LEGAL SERVICES,PRIVATE COLLEGES,196
EM-X-BAL,Bachelor of Arts in Law,21. SOCIAL SCIENCES/LEGAL SERVICES,PRIVATE COLLEGES,196
PE-B-BIL,Bachelor of Commerce in Law,21. SOCIAL SCIENCES/LEGAL SERVICES,PRIVATE COLLEGES,197
PE-P-BLD,"Bachelor of Commerce in Law
(Distance Mode)",21. SOCIAL SCIENCES/LEGAL SERVICES,PRIVATE COLLEGES,197
RG-D-DLG,Diploma in Local Government,21. SOCIAL SCIENCES/LEGAL SERVICES,PRIVATE COLLEGES,197
BT-D-DPL,Diploma Paralegal,21. SOCIAL SCIENCES/LEGAL SERVICES,PRIVATE COLLEGES,197
RG-D-PLG,H Cert Local Government,21. SOCIAL SCIENCES/LEGAL SERVICES,PRIVATE COLLEGES,198
MC-D-HCP,H Cert Paralegal Studies,21. SOCIAL SCIENCES/LEGAL SERVICES,PRIVATE COLLEGES,198
EM-X-HCP,H Cert Paralegal Studies,21. SOCIAL SCIENCES/LEGAL SERVICES,PRIVATE COLLEGES,198
EM-X-BLL,Bachelor of Laws (LLB) (Honours),21. SOCIAL SCIENCES/LEGAL SERVICES,PRIVATE COLLEGES,198
DU-D-CLM,"Diploma in Clothing
Management",22. TECHNOLOGY/PROCESSING,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,199
DU-D-DPP,"Diploma in Pulp and Paper
Technology",22. TECHNOLOGY/PROCESSING,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,199
KN-H-ABT,B A Cultural & Heritage Tourism,23. TOURISM/HOSPITALITY,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,200
ZU-M-BPT,"B Consumer Science:
Hospitality & Tourism",23. TOURISM/HOSPITALITY,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,200
ZU-M-BTT,B Tourism Studies,23. TOURISM/HOSPITALITY,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,200
ZU-R-DHM,Dip Hospitality Management,23. TOURISM/HOSPITALITY,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,200
DU-D-CKM,"Diploma in Catering
Management",23. TOURISM/HOSPITALITY,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,200
DU-D-DFN,"Diploma in Consumer Sciences
in Food and Nutrition",23. TOURISM/HOSPITALITY,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,201
DU-D-HPM,"Diploma in Hospitality
Management",23. TOURISM/HOSPITALITY,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,201
DU-D-DTM,"Diploma in Tourism
Management",23. TOURISM/HOSPITALITY,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,201
ZU-R-TM1,"Diploma in Tourism
Management",23. TOURISM/HOSPITALITY,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,202
DU-P-ET3,Dip in Ecotourism,23. TOURISM/HOSPITALITY,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,202
MC-D-THM,"B Com Tourism and Hospitality
Management",23. TOURISM/HOSPITALITY,PRIVATE COLLEGES,202
PE-M-MTC,"Bachelor of Commerce in
Tourism Management",23. TOURISM/HOSPITALITY,PRIVATE COLLEGES,203
BC-D-DHT,"Diploma in Hospitality
Management",23. TOURISM/HOSPITALITY,PRIVATE COLLEGES,203
MC-D-PET,H Cert Event Management,23. TOURISM/HOSPITALITY,PRIVATE COLLEGES,204
BT-D-CSE,"Cert Sports and Event
Management",23. TOURISM/HOSPITALITY,PRIVATE COLLEGES,204
BT-D-NHC,"N N Dip Hospitality and
Catering",23. TOURISM/HOSPITALITY,PRIVATE COLLEGES,204
BT-D-NTR,N N Dip Travel and Tourism,23. TOURISM/HOSPITALITY,PRIVATE COLLEGES,204
PX-D-HCD,"National N Diploma: Hospitality
and Catering Services (NQF6)",23. TOURISM/HOSPITALITY,PRIVATE COLLEGES,205
PX-D-TOD,"National N Diploma: Tourism
(NQF6)",23. TOURISM/HOSPITALITY,PRIVATE COLLEGES,205
DC-B-PTU,"N Cert Tourism
N4, N5, N6",23. TOURISM/HOSPITALITY,PRIVATE COLLEGES,205
DC-B-PTY,"N Cert Tourism
N4, N5, N6 (p/t)",23. TOURISM/HOSPITALITY,PRIVATE COLLEGES,205
PX-D-HCC,"National Certificate: Hospitality
and Catering Service
(N4, N5, N6)",23. TOURISM/HOSPITALITY,PRIVATE COLLEGES,205
PX-D-TOC,"National Certificate: Tourism
(N4, N5, N6)",23. TOURISM/HOSPITALITY,PRIVATE COLLEGES,205
ZU-R-LM3,Dip Logistics Management,24. TRANSPORT,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,206
DU-D-SL3,Dip Shipping & Logistics,24. TRANSPORT,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,206
ZU-R-TP3,Dip Transport Management,24. TRANSPORT,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,206
DU-D-NS3,Diploma in Nautical Science,24. TRANSPORT,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,206
BC-D-HMS,"Higher Certificate in Maritime
Studies",24. TRANSPORT,PRIVATE COLLEGES,207
KN-P-AAV,B A Visual Art,25. VISUAL ARTS/DESIGN,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,208
DU-D-COP,"Bachelor of Applied Arts in
Commercial Photography",25. VISUAL ARTS/DESIGN,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,208
DU-C-SAT,"Bachelor of Applied Arts in
Screen Arts and Technology",25. VISUAL ARTS/DESIGN,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,208
DU-C-BDG,"Bachelor of Design in Visual
Communication Design /
Graphic Design",25. VISUAL ARTS/DESIGN,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,208
DU-B-DIF,Diploma in Fashion Design,25. VISUAL ARTS/DESIGN,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,209
DU-C-DFA,Diploma in Fine Art,25. VISUAL ARTS/DESIGN,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,209
DU-C-ID3,Diploma in Interior Design,25. VISUAL ARTS/DESIGN,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,209
DU-C-DJM,"Diploma in Jewellery Design
and Manufacture",25. VISUAL ARTS/DESIGN,UNIVERSITIES AND UNIVERSITIES OF TECHNOLOGY,209
EM-J-BOF,Bachelor of Arts in Fashion,25. VISUAL ARTS/DESIGN,PRIVATE COLLEGES,210
EM-J-BFN,"Bachelor of Commerce in
Fashion",25. VISUAL ARTS/DESIGN,PRIVATE COLLEGES,210
EM-B-BDA,"Bachelor of Applied Arts in 3D
Animation",25. VISUAL ARTS/DESIGN,PRIVATE COLLEGES,210
EM-B-BAV,"Bachelor of Arts in Visual
Communication Design",25. VISUAL ARTS/DESIGN,PRIVATE COLLEGES,210
BT-D-DPC,"Dip: Dressmaking and Pattern
Cutting (Fashion Design)",25. VISUAL ARTS/DESIGN,PRIVATE COLLEGES,211
AA-B-DVC,"Diploma in Visual
Communication",25. VISUAL ARTS/DESIGN,PRIVATE COLLEGES,211
EM-B-DA3,Diploma in 3D Animation,25. VISUAL ARTS/DESIGN,PRIVATE COLLEGES,211
EM-H-DCL,Diploma in Clothing Production,25. VISUAL ARTS/DESIGN,PRIVATE COLLEGES,211
IS-D-DTG,"Cert Design Techniques:
Graphic Design ACA",25. VISUAL ARTS/DESIGN,PRIVATE COLLEGES,212
IS-D-IMG,"N Cert Interactive Media:
Graphic Design ACA",25. VISUAL ARTS/DESIGN,PRIVATE COLLEGES,212
BT-D-CPT,Cert Photography,25. VISUAL ARTS/DESIGN,PRIVATE COLLEGES,212
AA-B-VCM,"H Cert in Visual
Communications",25. VISUAL ARTS/DESIGN,PRIVATE COLLEGES,212
EM-J-PPH,H Cert Photography,25. VISUAL ARTS/DESIGN,PRIVATE COLLEGES,212
PE-B-HAD,"Higher Certificate in Art and
Design",25. VISUAL ARTS/DESIGN,PRIVATE COLLEGES,212
EM-J-BHF,"Bachelor of Arts in Fashion
(Honours)",25. VISUAL ARTS/DESIGN,PRIVATE COLLEGES,213
EM-J-HFN,Higher Certificate in Fashion,25. VISUAL ARTS/DESIGN,PRIVATE COLLEGES,213
EM-B-HCG,"Higher Certificate in Graphic
Web Design",25. VISUAL ARTS/DESIGN,PRIVATE COLLEGES,213
EM-J-HFT,"Higher Certificate in Film and
TV Make-up Design",25. VISUAL ARTS/DESIGN,PRIVATE COLLEGES,213
